"Data","Conta","A"
"2018-01-08",86.00,56
"2018-01-08",84.00,62
"2018-01-08",79.00,39
"2018-01-08",47.00,23
"2018-01-08",44.00,52
"2018-01-08",36.00,2
"2018-01-08",31.00,70
"2018-01-08",30.00,17
"2018-01-08",26.00,60
"2018-01-08",25.00,4
"2018-01-08",20.00,40
"2018-01-08",17.00,14
"2018-01-08",16.00,1
"2018-01-08",15.00,30
"2018-01-08",10.00,5
"2018-01-08",6.00,21
"2018-01-08",6.00,81
"2018-01-08",6.00,6
"2018-01-08",5.00,78
"2018-01-08",5.00,12
"2018-01-08",4.00,15
"2018-01-08",4.00,18
"2018-01-08",3.00,13
"2018-01-08",3.00,54
"2018-01-08",3.00,3
"2018-01-08",2.00,79
"2018-01-08",2.00,16
"2018-01-08",2.00,19
"2018-01-08",2.00,67
"2018-01-08",1.00,22
"2018-01-08",1.00,80
"2018-01-09",640.00,9
"2018-01-09",601.00,26
"2018-01-09",527.00,25
"2018-01-09",249.00,62
"2018-01-09",233.00,38
"2018-01-09",203.00,56
"2018-01-09",190.00,35
"2018-01-09",186.00,39
"2018-01-09",102.00,70
"2018-01-09",97.00,4
"2018-01-09",86.00,2
"2018-01-09",80.00,23
"2018-01-09",79.00,17
"2018-01-09",56.00,5
"2018-01-09",55.00,1
"2018-01-09",51.00,79
"2018-01-09",49.00,40
"2018-01-09",45.00,14
"2018-01-09",43.00,60
"2018-01-09",40.00,78
"2018-01-09",35.00,30
"2018-01-09",32.00,21
"2018-01-09",27.00,12
"2018-01-09",25.00,15
"2018-01-09",25.00,3
"2018-01-09",24.00,19
"2018-01-09",22.00,81
"2018-01-09",19.00,16
"2018-01-09",15.00,67
"2018-01-09",14.00,13
"2018-01-09",10.00,22
"2018-01-09",9.00,18
"2018-01-09",8.00,80
"2018-01-09",8.00,77
"2018-01-09",8.00,54
"2018-01-09",7.00,6
"2018-01-09",5.00,68
"2018-01-09",4.00,72
"2018-01-09",2.00,44
"2018-01-10",615.00,9
"2018-01-10",560.00,26
"2018-01-10",512.00,25
"2018-01-10",245.00,38
"2018-01-10",216.00,39
"2018-01-10",205.00,62
"2018-01-10",201.00,56
"2018-01-10",162.00,35
"2018-01-10",110.00,4
"2018-01-10",95.00,70
"2018-01-10",93.00,2
"2018-01-10",86.00,17
"2018-01-10",85.00,23
"2018-01-10",56.00,40
"2018-01-10",56.00,1
"2018-01-10",52.00,79
"2018-01-10",50.00,14
"2018-01-10",41.00,60
"2018-01-10",41.00,78
"2018-01-10",37.00,5
"2018-01-10",35.00,21
"2018-01-10",32.00,30
"2018-01-10",27.00,12
"2018-01-10",26.00,19
"2018-01-10",26.00,15
"2018-01-10",17.00,3
"2018-01-10",15.00,13
"2018-01-10",14.00,81
"2018-01-10",14.00,16
"2018-01-10",11.00,6
"2018-01-10",11.00,67
"2018-01-10",11.00,80
"2018-01-10",10.00,22
"2018-01-10",9.00,18
"2018-01-10",8.00,68
"2018-01-10",8.00,54
"2018-01-10",3.00,77
"2018-01-10",2.00,44
"2018-01-10",1.00,72
"2018-01-10",1.00,73
"2018-01-11",369.00,26
"2018-01-11",260.00,9
"2018-01-11",233.00,25
"2018-01-11",105.00,38
"2018-01-11",97.00,35
"2018-01-11",87.00,62
"2018-01-11",87.00,39
"2018-01-11",74.00,56
"2018-01-11",60.00,23
"2018-01-11",40.00,52
"2018-01-11",38.00,2
"2018-01-11",31.00,17
"2018-01-11",28.00,60
"2018-01-11",28.00,4
"2018-01-11",22.00,70
"2018-01-11",20.00,14
"2018-01-11",18.00,40
"2018-01-11",13.00,30
"2018-01-11",12.00,1
"2018-01-11",11.00,5
"2018-01-11",7.00,6
"2018-01-11",6.00,21
"2018-01-11",5.00,81
"2018-01-11",5.00,78
"2018-01-11",4.00,3
"2018-01-11",4.00,12
"2018-01-11",3.00,18
"2018-01-11",3.00,16
"2018-01-11",3.00,54
"2018-01-11",3.00,15
"2018-01-11",2.00,19
"2018-01-11",2.00,13
"2018-01-11",1.00,80
"2018-01-11",1.00,67
"2018-01-11",1.00,79
"2018-01-12",285.00,26
"2018-01-12",245.00,9
"2018-01-12",203.00,25
"2018-01-12",108.00,38
"2018-01-12",92.00,62
"2018-01-12",84.00,56
"2018-01-12",76.00,39
"2018-01-12",72.00,35
"2018-01-12",50.00,23
"2018-01-12",40.00,52
"2018-01-12",35.00,17
"2018-01-12",29.00,2
"2018-01-12",27.00,4
"2018-01-12",26.00,60
"2018-01-12",23.00,70
"2018-01-12",21.00,14
"2018-01-12",19.00,40
"2018-01-12",13.00,1
"2018-01-12",13.00,30
"2018-01-12",9.00,6
"2018-01-12",9.00,21
"2018-01-12",7.00,5
"2018-01-12",5.00,78
"2018-01-12",5.00,81
"2018-01-12",4.00,12
"2018-01-12",3.00,13
"2018-01-12",3.00,54
"2018-01-12",3.00,15
"2018-01-12",2.00,80
"2018-01-12",2.00,3
"2018-01-12",2.00,79
"2018-01-12",1.00,19
"2018-01-12",1.00,18
"2018-01-12",1.00,16
"2018-01-12",1.00,22
"2018-01-12",1.00,67
"2018-01-13",120.00,38
"2018-01-13",87.00,26
"2018-01-13",85.00,9
"2018-01-13",50.00,35
"2018-01-13",48.00,52
"2018-01-13",48.00,56
"2018-01-13",42.00,62
"2018-01-13",33.00,39
"2018-01-13",33.00,25
"2018-01-13",30.00,1
"2018-01-13",23.00,4
"2018-01-13",19.00,70
"2018-01-13",15.00,17
"2018-01-13",7.00,23
"2018-01-13",6.00,2
"2018-01-13",4.00,60
"2018-01-13",3.00,54
"2018-01-13",2.00,79
"2018-01-13",2.00,19
"2018-01-13",1.00,78
"2018-01-13",1.00,6
"2018-01-13",1.00,12
"2018-01-13",1.00,21
"2018-01-13",1.00,30
"2018-01-14",99.00,52
"2018-01-14",93.00,38
"2018-01-14",68.00,9
"2018-01-14",47.00,56
"2018-01-14",46.00,35
"2018-01-14",43.00,4
"2018-01-14",42.00,26
"2018-01-14",33.00,39
"2018-01-14",29.00,62
"2018-01-14",23.00,25
"2018-01-14",19.00,70
"2018-01-14",17.00,1
"2018-01-14",17.00,79
"2018-01-14",12.00,17
"2018-01-14",6.00,78
"2018-01-14",5.00,23
"2018-01-14",4.00,54
"2018-01-14",3.00,30
"2018-01-14",2.00,44
"2018-01-14",2.00,21
"2018-01-14",2.00,19
"2018-01-14",2.00,2
"2018-01-14",1.00,67
"2018-01-14",1.00,6
"2018-01-14",1.00,14
"2018-01-15",360.00,26
"2018-01-15",271.00,9
"2018-01-15",241.00,25
"2018-01-15",117.00,38
"2018-01-15",97.00,62
"2018-01-15",97.00,35
"2018-01-15",78.00,39
"2018-01-15",74.00,56
"2018-01-15",47.00,23
"2018-01-15",46.00,17
"2018-01-15",42.00,52
"2018-01-15",42.00,2
"2018-01-15",34.00,60
"2018-01-15",33.00,4
"2018-01-15",32.00,70
"2018-01-15",25.00,40
"2018-01-15",22.00,14
"2018-01-15",15.00,30
"2018-01-15",14.00,5
"2018-01-15",14.00,1
"2018-01-15",13.00,6
"2018-01-15",8.00,21
"2018-01-15",7.00,81
"2018-01-15",7.00,15
"2018-01-15",6.00,12
"2018-01-15",5.00,78
"2018-01-15",4.00,54
"2018-01-15",4.00,3
"2018-01-15",4.00,67
"2018-01-15",3.00,19
"2018-01-15",2.00,79
"2018-01-15",2.00,13
"2018-01-15",2.00,16
"2018-01-15",2.00,18
"2018-01-15",2.00,22
"2018-01-16",728.00,9
"2018-01-16",512.00,26
"2018-01-16",435.00,25
"2018-01-16",235.00,38
"2018-01-16",227.00,39
"2018-01-16",224.00,56
"2018-01-16",204.00,35
"2018-01-16",202.00,62
"2018-01-16",121.00,70
"2018-01-16",119.00,4
"2018-01-16",106.00,2
"2018-01-16",95.00,17
"2018-01-16",94.00,23
"2018-01-16",55.00,1
"2018-01-16",54.00,40
"2018-01-16",50.00,5
"2018-01-16",48.00,60
"2018-01-16",46.00,14
"2018-01-16",43.00,79
"2018-01-16",39.00,30
"2018-01-16",38.00,21
"2018-01-16",36.00,78
"2018-01-16",29.00,12
"2018-01-16",28.00,15
"2018-01-16",23.00,81
"2018-01-16",23.00,3
"2018-01-16",23.00,19
"2018-01-16",14.00,16
"2018-01-16",14.00,67
"2018-01-16",13.00,13
"2018-01-16",12.00,22
"2018-01-16",11.00,80
"2018-01-16",9.00,6
"2018-01-16",9.00,18
"2018-01-16",9.00,54
"2018-01-16",7.00,68
"2018-01-16",7.00,77
"2018-01-16",3.00,72
"2018-01-16",1.00,44
"2018-01-17",654.00,9
"2018-01-17",629.00,26
"2018-01-17",498.00,25
"2018-01-17",230.00,62
"2018-01-17",224.00,38
"2018-01-17",214.00,39
"2018-01-17",209.00,35
"2018-01-17",198.00,56
"2018-01-17",111.00,4
"2018-01-17",110.00,70
"2018-01-17",107.00,2
"2018-01-17",73.00,23
"2018-01-17",71.00,17
"2018-01-17",63.00,60
"2018-01-17",63.00,1
"2018-01-17",62.00,5
"2018-01-17",61.00,40
"2018-01-17",50.00,14
"2018-01-17",41.00,78
"2018-01-17",38.00,79
"2018-01-17",35.00,21
"2018-01-17",31.00,30
"2018-01-17",26.00,12
"2018-01-17",25.00,19
"2018-01-17",23.00,15
"2018-01-17",21.00,3
"2018-01-17",21.00,81
"2018-01-17",16.00,16
"2018-01-17",15.00,22
"2018-01-17",15.00,13
"2018-01-17",13.00,67
"2018-01-17",12.00,80
"2018-01-17",12.00,6
"2018-01-17",10.00,54
"2018-01-17",8.00,18
"2018-01-17",7.00,68
"2018-01-17",7.00,77
"2018-01-17",2.00,72
"2018-01-17",1.00,44
"2018-01-17",1.00,76
"2018-01-18",324.00,26
"2018-01-18",242.00,9
"2018-01-18",179.00,25
"2018-01-18",108.00,38
"2018-01-18",92.00,35
"2018-01-18",83.00,39
"2018-01-18",76.00,62
"2018-01-18",65.00,56
"2018-01-18",45.00,17
"2018-01-18",44.00,23
"2018-01-18",37.00,52
"2018-01-18",36.00,2
"2018-01-18",29.00,4
"2018-01-18",28.00,60
"2018-01-18",27.00,70
"2018-01-18",23.00,40
"2018-01-18",21.00,14
"2018-01-18",15.00,30
"2018-01-18",15.00,5
"2018-01-18",9.00,6
"2018-01-18",9.00,1
"2018-01-18",8.00,21
"2018-01-18",5.00,81
"2018-01-18",4.00,12
"2018-01-18",3.00,78
"2018-01-18",3.00,15
"2018-01-18",3.00,54
"2018-01-18",2.00,13
"2018-01-18",2.00,67
"2018-01-18",2.00,19
"2018-01-18",2.00,18
"2018-01-18",1.00,3
"2018-01-18",1.00,22
"2018-01-18",1.00,16
"2018-01-18",1.00,80
"2018-01-19",333.00,9
"2018-01-19",289.00,26
"2018-01-19",208.00,25
"2018-01-19",106.00,38
"2018-01-19",88.00,35
"2018-01-19",87.00,62
"2018-01-19",79.00,39
"2018-01-19",59.00,56
"2018-01-19",44.00,23
"2018-01-19",40.00,17
"2018-01-19",35.00,2
"2018-01-19",33.00,52
"2018-01-19",25.00,60
"2018-01-19",25.00,4
"2018-01-19",25.00,70
"2018-01-19",20.00,14
"2018-01-19",19.00,40
"2018-01-19",14.00,30
"2018-01-19",14.00,1
"2018-01-19",13.00,5
"2018-01-19",11.00,21
"2018-01-19",8.00,6
"2018-01-19",6.00,81
"2018-01-19",5.00,15
"2018-01-19",5.00,12
"2018-01-19",4.00,78
"2018-01-19",4.00,54
"2018-01-19",3.00,16
"2018-01-19",2.00,18
"2018-01-19",2.00,3
"2018-01-19",2.00,67
"2018-01-19",1.00,79
"2018-01-19",1.00,13
"2018-01-19",1.00,19
"2018-01-19",1.00,80
"2018-01-20",114.00,38
"2018-01-20",81.00,26
"2018-01-20",70.00,9
"2018-01-20",62.00,56
"2018-01-20",55.00,52
"2018-01-20",40.00,35
"2018-01-20",40.00,62
"2018-01-20",31.00,25
"2018-01-20",29.00,1
"2018-01-20",29.00,39
"2018-01-20",25.00,70
"2018-01-20",24.00,4
"2018-01-20",12.00,17
"2018-01-20",7.00,23
"2018-01-20",6.00,2
"2018-01-20",5.00,60
"2018-01-20",4.00,78
"2018-01-20",4.00,79
"2018-01-20",4.00,54
"2018-01-20",4.00,21
"2018-01-20",3.00,19
"2018-01-20",2.00,81
"2018-01-20",1.00,30
"2018-01-20",1.00,22
"2018-01-20",1.00,12
"2018-01-20",1.00,6
"2018-01-21",106.00,38
"2018-01-21",95.00,52
"2018-01-21",80.00,9
"2018-01-21",58.00,35
"2018-01-21",48.00,56
"2018-01-21",43.00,26
"2018-01-21",39.00,4
"2018-01-21",34.00,39
"2018-01-21",32.00,62
"2018-01-21",25.00,25
"2018-01-21",21.00,70
"2018-01-21",18.00,1
"2018-01-21",15.00,79
"2018-01-21",12.00,17
"2018-01-21",6.00,78
"2018-01-21",5.00,23
"2018-01-21",5.00,54
"2018-01-21",3.00,21
"2018-01-21",3.00,30
"2018-01-21",3.00,2
"2018-01-21",2.00,14
"2018-01-21",2.00,44
"2018-01-21",2.00,19
"2018-01-21",1.00,6
"2018-01-21",1.00,60
"2018-01-22",348.00,9
"2018-01-22",293.00,26
"2018-01-22",234.00,25
"2018-01-22",101.00,38
"2018-01-22",91.00,35
"2018-01-22",84.00,62
"2018-01-22",83.00,39
"2018-01-22",79.00,56
"2018-01-22",55.00,23
"2018-01-22",44.00,17
"2018-01-22",41.00,2
"2018-01-22",34.00,52
"2018-01-22",31.00,70
"2018-01-22",27.00,4
"2018-01-22",24.00,60
"2018-01-22",23.00,40
"2018-01-22",21.00,14
"2018-01-22",15.00,30
"2018-01-22",14.00,5
"2018-01-22",14.00,1
"2018-01-22",10.00,6
"2018-01-22",5.00,78
"2018-01-22",5.00,81
"2018-01-22",5.00,54
"2018-01-22",5.00,21
"2018-01-22",5.00,15
"2018-01-22",4.00,3
"2018-01-22",4.00,12
"2018-01-22",3.00,16
"2018-01-22",3.00,13
"2018-01-22",2.00,67
"2018-01-22",2.00,79
"2018-01-22",2.00,18
"2018-01-22",2.00,19
"2018-01-22",1.00,80
"2018-01-23",646.00,9
"2018-01-23",563.00,26
"2018-01-23",507.00,25
"2018-01-23",249.00,39
"2018-01-23",247.00,38
"2018-01-23",229.00,62
"2018-01-23",200.00,56
"2018-01-23",173.00,35
"2018-01-23",118.00,2
"2018-01-23",113.00,4
"2018-01-23",105.00,70
"2018-01-23",91.00,23
"2018-01-23",85.00,17
"2018-01-23",56.00,1
"2018-01-23",56.00,40
"2018-01-23",52.00,14
"2018-01-23",44.00,60
"2018-01-23",43.00,30
"2018-01-23",37.00,78
"2018-01-23",36.00,21
"2018-01-23",35.00,5
"2018-01-23",30.00,12
"2018-01-23",29.00,19
"2018-01-23",29.00,79
"2018-01-23",28.00,15
"2018-01-23",20.00,3
"2018-01-23",20.00,81
"2018-01-23",18.00,16
"2018-01-23",12.00,13
"2018-01-23",10.00,67
"2018-01-23",10.00,18
"2018-01-23",9.00,22
"2018-01-23",9.00,80
"2018-01-23",8.00,6
"2018-01-23",8.00,77
"2018-01-23",8.00,54
"2018-01-23",7.00,68
"2018-01-23",3.00,72
"2018-01-23",2.00,44
"2018-01-24",667.00,9
"2018-01-24",606.00,26
"2018-01-24",450.00,25
"2018-01-24",249.00,38
"2018-01-24",221.00,62
"2018-01-24",199.00,39
"2018-01-24",196.00,56
"2018-01-24",184.00,35
"2018-01-24",119.00,2
"2018-01-24",102.00,4
"2018-01-24",100.00,70
"2018-01-24",90.00,17
"2018-01-24",88.00,23
"2018-01-24",63.00,40
"2018-01-24",58.00,60
"2018-01-24",56.00,1
"2018-01-24",47.00,14
"2018-01-24",43.00,79
"2018-01-24",42.00,5
"2018-01-24",41.00,30
"2018-01-24",36.00,21
"2018-01-24",34.00,78
"2018-01-24",29.00,12
"2018-01-24",26.00,15
"2018-01-24",23.00,81
"2018-01-24",22.00,19
"2018-01-24",19.00,13
"2018-01-24",18.00,3
"2018-01-24",16.00,67
"2018-01-24",16.00,16
"2018-01-24",12.00,18
"2018-01-24",10.00,80
"2018-01-24",10.00,22
"2018-01-24",8.00,77
"2018-01-24",8.00,54
"2018-01-24",6.00,68
"2018-01-24",5.00,6
"2018-01-24",2.00,72
"2018-01-24",1.00,52
"2018-01-24",1.00,44
"2018-01-24",1.00,73
"2018-01-25",339.00,26
"2018-01-25",290.00,9
"2018-01-25",237.00,25
"2018-01-25",97.00,62
"2018-01-25",94.00,38
"2018-01-25",77.00,35
"2018-01-25",77.00,56
"2018-01-25",76.00,39
"2018-01-25",52.00,23
"2018-01-25",47.00,52
"2018-01-25",41.00,2
"2018-01-25",40.00,17
"2018-01-25",33.00,60
"2018-01-25",30.00,70
"2018-01-25",25.00,4
"2018-01-25",22.00,40
"2018-01-25",16.00,5
"2018-01-25",15.00,14
"2018-01-25",13.00,1
"2018-01-25",13.00,30
"2018-01-25",8.00,6
"2018-01-25",6.00,21
"2018-01-25",5.00,81
"2018-01-25",4.00,78
"2018-01-25",4.00,12
"2018-01-25",4.00,15
"2018-01-25",2.00,22
"2018-01-25",2.00,13
"2018-01-25",2.00,67
"2018-01-25",2.00,16
"2018-01-25",2.00,18
"2018-01-25",2.00,54
"2018-01-25",2.00,3
"2018-01-25",1.00,80
"2018-01-25",1.00,19
"2018-01-26",350.00,26
"2018-01-26",305.00,9
"2018-01-26",178.00,25
"2018-01-26",89.00,38
"2018-01-26",86.00,39
"2018-01-26",84.00,62
"2018-01-26",82.00,35
"2018-01-26",65.00,56
"2018-01-26",45.00,17
"2018-01-26",43.00,23
"2018-01-26",38.00,2
"2018-01-26",32.00,52
"2018-01-26",25.00,70
"2018-01-26",23.00,60
"2018-01-26",23.00,4
"2018-01-26",20.00,40
"2018-01-26",15.00,5
"2018-01-26",14.00,30
"2018-01-26",13.00,14
"2018-01-26",9.00,1
"2018-01-26",8.00,21
"2018-01-26",5.00,78
"2018-01-26",5.00,6
"2018-01-26",4.00,81
"2018-01-26",3.00,3
"2018-01-26",3.00,13
"2018-01-26",3.00,15
"2018-01-26",2.00,16
"2018-01-26",2.00,18
"2018-01-26",2.00,19
"2018-01-26",2.00,54
"2018-01-26",2.00,12
"2018-01-26",1.00,80
"2018-01-26",1.00,79
"2018-01-26",1.00,22
"2018-01-27",114.00,38
"2018-01-27",95.00,9
"2018-01-27",86.00,26
"2018-01-27",58.00,56
"2018-01-27",54.00,52
"2018-01-27",52.00,35
"2018-01-27",41.00,39
"2018-01-27",33.00,62
"2018-01-27",27.00,1
"2018-01-27",26.00,4
"2018-01-27",24.00,25
"2018-01-27",21.00,70
"2018-01-27",11.00,17
"2018-01-27",8.00,23
"2018-01-27",6.00,79
"2018-01-27",6.00,60
"2018-01-27",5.00,2
"2018-01-27",4.00,54
"2018-01-27",3.00,78
"2018-01-27",2.00,19
"2018-01-27",2.00,12
"2018-01-27",1.00,22
"2018-01-27",1.00,21
"2018-01-27",1.00,81
"2018-01-27",1.00,6
"2018-01-28",113.00,38
"2018-01-28",112.00,52
"2018-01-28",82.00,9
"2018-01-28",57.00,56
"2018-01-28",47.00,35
"2018-01-28",39.00,4
"2018-01-28",34.00,25
"2018-01-28",33.00,26
"2018-01-28",33.00,39
"2018-01-28",26.00,62
"2018-01-28",21.00,1
"2018-01-28",19.00,70
"2018-01-28",18.00,79
"2018-01-28",9.00,17
"2018-01-28",5.00,54
"2018-01-28",4.00,78
"2018-01-28",4.00,2
"2018-01-28",4.00,23
"2018-01-28",3.00,30
"2018-01-28",2.00,21
"2018-01-28",2.00,19
"2018-01-28",2.00,14
"2018-01-28",1.00,6
"2018-01-28",1.00,44
"2018-01-29",333.00,26
"2018-01-29",321.00,9
"2018-01-29",208.00,25
"2018-01-29",116.00,38
"2018-01-29",103.00,35
"2018-01-29",84.00,62
"2018-01-29",83.00,39
"2018-01-29",79.00,56
"2018-01-29",60.00,23
"2018-01-29",48.00,2
"2018-01-29",41.00,52
"2018-01-29",36.00,70
"2018-01-29",33.00,17
"2018-01-29",33.00,60
"2018-01-29",29.00,4
"2018-01-29",21.00,40
"2018-01-29",17.00,14
"2018-01-29",14.00,30
"2018-01-29",11.00,5
"2018-01-29",11.00,1
"2018-01-29",11.00,6
"2018-01-29",8.00,21
"2018-01-29",7.00,81
"2018-01-29",6.00,15
"2018-01-29",4.00,12
"2018-01-29",3.00,67
"2018-01-29",3.00,78
"2018-01-29",3.00,13
"2018-01-29",3.00,19
"2018-01-29",3.00,16
"2018-01-29",2.00,18
"2018-01-29",2.00,3
"2018-01-29",2.00,54
"2018-01-29",2.00,80
"2018-01-29",2.00,79
"2018-01-29",2.00,22
"2018-01-30",576.00,26
"2018-01-30",565.00,9
"2018-01-30",504.00,25
"2018-01-30",254.00,38
"2018-01-30",218.00,39
"2018-01-30",218.00,62
"2018-01-30",207.00,35
"2018-01-30",200.00,56
"2018-01-30",114.00,2
"2018-01-30",112.00,4
"2018-01-30",85.00,70
"2018-01-30",84.00,17
"2018-01-30",78.00,23
"2018-01-30",63.00,60
"2018-01-30",57.00,40
"2018-01-30",56.00,14
"2018-01-30",51.00,1
"2018-01-30",49.00,79
"2018-01-30",45.00,5
"2018-01-30",34.00,12
"2018-01-30",32.00,30
"2018-01-30",30.00,21
"2018-01-30",30.00,78
"2018-01-30",25.00,15
"2018-01-30",22.00,19
"2018-01-30",22.00,81
"2018-01-30",20.00,3
"2018-01-30",16.00,16
"2018-01-30",16.00,13
"2018-01-30",11.00,67
"2018-01-30",9.00,22
"2018-01-30",9.00,80
"2018-01-30",8.00,6
"2018-01-30",8.00,54
"2018-01-30",6.00,18
"2018-01-30",5.00,77
"2018-01-30",4.00,68
"2018-01-30",3.00,72
"2018-01-30",2.00,45
"2018-01-31",598.00,26
"2018-01-31",535.00,9
"2018-01-31",527.00,25
"2018-01-31",224.00,62
"2018-01-31",222.00,39
"2018-01-31",205.00,35
"2018-01-31",204.00,38
"2018-01-31",189.00,56
"2018-01-31",117.00,4
"2018-01-31",112.00,2
"2018-01-31",103.00,70
"2018-01-31",93.00,17
"2018-01-31",75.00,23
"2018-01-31",49.00,40
"2018-01-31",47.00,1
"2018-01-31",46.00,79
"2018-01-31",40.00,60
"2018-01-31",39.00,14
"2018-01-31",38.00,21
"2018-01-31",34.00,30
"2018-01-31",31.00,78
"2018-01-31",31.00,15
"2018-01-31",30.00,5
"2018-01-31",28.00,12
"2018-01-31",27.00,19
"2018-01-31",24.00,3
"2018-01-31",16.00,81
"2018-01-31",14.00,13
"2018-01-31",13.00,16
"2018-01-31",11.00,22
"2018-01-31",10.00,54
"2018-01-31",10.00,80
"2018-01-31",9.00,6
"2018-01-31",9.00,18
"2018-01-31",8.00,67
"2018-01-31",6.00,68
"2018-01-31",6.00,77
"2018-01-31",2.00,72
"2018-01-31",1.00,76
"2018-02-01",349.00,26
"2018-02-01",291.00,9
"2018-02-01",224.00,25
"2018-02-01",108.00,38
"2018-02-01",86.00,35
"2018-02-01",86.00,62
"2018-02-01",78.00,39
"2018-02-01",71.00,56
